athlete_full_name,athlete_slug,profile_url,hometown,height,age,education
David WISE,david-wise,https://www.teamusa.com/profiles/david-wise,Unknown,Unknown,Unknown,Unknown
Alex FERREIRA,alex-ferreira,https://www.teamusa.com/profiles/alex-ferreira,"Aspen, CO","5'9""",31,Colorado Mountain College ‘21
Colby STEVENSON,colby-stevenson,https://www.teamusa.com/profiles/colby-stevenson,Unknown,Unknown,Unknown,Unknown
Jaelin KAUF,jaelin-kauf,https://www.teamusa.com/profiles/jaelin-kauf,Unknown,Unknown,Unknown,Unknown
Megan NICK,megan-nick,https://www.teamusa.com/profiles/megan-nick,Unknown,Unknown,Unknown,Unknown
Nicholas GOEPPER,nicholas-goepper,https://www.teamusa.com/profiles/nicholas-goepper,Unknown,Unknown,Unknown,Unknown
Alexander HALL,alexander-hall,https://www.teamusa.com/profiles/alexander-hall,Unknown,Unknown,Unknown,Unknown
Chloe KIM,chloe-kim,https://www.teamusa.com/profiles/chloe-kim,"Torrance, CA","5'3""",25,Princeton University
Nick BAUMGARTNER,nick-baumgartner,https://www.teamusa.com/profiles/nick-baumgartner,"Iron River, MI","6'0""",44,West Iron County High School
Lindsey JACOBELLIS,lindsey-jacobellis,https://www.teamusa.com/profiles/lindsey-jacobellis,Unknown,Unknown,Unknown,Unknown
Julia MARINO,julia-marino,https://www.teamusa.com/profiles/julia-marino,"Westport, CT","5'5""",28,Unknown
Madison HUBBELL,madison-hubbell,https://www.teamusa.com/profiles/madison-hubbell,Unknown,Unknown,Unknown,Unknown
Zachary DONOHUE,zachary-donohue,https://www.teamusa.com/profiles/zachary-donohue,Unknown,Unknown,Unknown,Unknown
Nathan CHEN,nathan-chen,https://www.teamusa.com/profiles/nathan-chen,Unknown,Unknown,Unknown,Unknown
Ryan COCHRAN-SIEGLE,ryan-cochran-siegle,https://www.teamusa.com/profiles/ryan-cochran-siegle,"Starksboro, VT","6'1""",34,University of Vermont
Jessica DIGGINS,jessica-diggins,https://www.teamusa.com/profiles/jessica-diggins,Unknown,Unknown,Unknown,Unknown
Brittany BOWE,brittany-bowe,https://www.teamusa.com/profiles/brittany-bowe,Unknown,Unknown,Unknown,Unknown
Erin JACKSON,erin-jackson,https://www.teamusa.com/profiles/erin-jackson,"Ocala, FL","5'5""",33,University of Florida
Elana MEYERS TAYLOR,elana-meyers-taylor,https://www.teamusa.com/profiles/elana-meyers-taylor,"Douglasville, GA","5'8""",41,George Washington University
Kaillie HUMPHRIES,kaillie-humphries,https://www.teamusa.com/profiles/kaillie-humphries,Calgary,5’7”,40,National Sport School
Sylvia HOFFMAN,sylvia-hoffman,https://www.teamusa.com/profiles/sylvia-hoffman,"Arlington, TX","5'8""",36,"LSU Shreveport, Louisiana"
Madelynn Ann BERNAU,madelynn-bernau,https://www.teamusa.com/profiles/madelynn-bernau,Unknown,Unknown,Unknown,Unknown
Brian BURROWS,brian-burrows,https://www.teamusa.com/profiles/brian-burrows,"Fallbrook, CA","5'11""",38,"California State University ‘16, Business"
William SHANER,william-shaner,https://www.teamusa.com/profiles/william-shaner,Unknown,Unknown,Unknown,Unknown
Amber ENGLISH,amber-english,https://www.teamusa.com/profiles/amber-english,Unknown,Unknown,Unknown,Unknown
Kayle BROWNING,kayle-browning,https://www.teamusa.com/profiles/kayle-browning,"Wooster, AR","5'6""",33,"Greenbrier High School (Greenbrier, Ark.) '10 University of Central Arkansas, , Interior Design"
Mary Carolynn TUCKER,mary-tucker,https://www.teamusa.com/profiles/mary-tucker,Unknown,Unknown,Unknown,Unknown
Lucas KOZENIESKY,lucas-kozeniesky,https://www.teamusa.com/profiles/lucas-kozeniesky,Unknown,Unknown,Unknown,Unknown
Vincent HANCOCK,vincent-hancock,https://www.teamusa.com/profiles/vincent-hancock,Unknown,Unknown,Unknown,Unknown
Andrew CAPOBIANCO,andrew-capobianco,https://www.teamusa.com/profiles/andrew-capobianco,Unknown,Unknown,Unknown,Unknown
Mike HIXON,mike-hixon,https://www.teamusa.com/profiles/mike-hixon,Unknown,Unknown,Unknown,Unknown
Jessica PARRATTO,jessica-parratto,https://www.teamusa.com/profiles/jessica-parratto,Unknown,Unknown,Unknown,Unknown
Delaney SCHNELL,delaney-schnell,https://www.teamusa.com/profiles/delaney-schnell,Unknown,Unknown,Unknown,Unknown
Krysta PALMER,krysta-palmer,https://www.teamusa.com/profiles/krysta-palmer,Unknown,Unknown,Unknown,Unknown
Nevin HARRISON,nevin-harrison,https://www.teamusa.com/profiles/nevin-harrison,"Seattle, WA","5'9""",23,Roosevelt High School
Richard TORREZ JR,richard-torrez-jr,https://www.teamusa.com/profiles/richard-torrez-jr,"Tulare, CA",Unknown,26,Unknown
Duke RAGAN,duke-ragan,https://www.teamusa.com/profiles/duke-ragan,Unknown,Unknown,Unknown,Unknown
Oshae JONES,oshae-jones,https://www.teamusa.com/profiles/oshae-jones,Unknown,Unknown,Unknown,Unknown
Keyshawn DAVIS,keyshawn-davis,https://www.teamusa.com/profiles/keyshawn-davis,Unknown,Unknown,Unknown,Unknown
Katie ZAFERES,katie-zaferes,https://www.teamusa.com/profiles/katie-zaferes,"Santa Cruz, CA","5'8""",36,Syracuse University
Carissa MOORE,carissa-moore,https://www.teamusa.com/profiles/carissa-moore,"Honolulu, HI","5'7""",33,Punahou School ‘10
Anastasija ZOLOTIC,anastasija-zolotic,https://www.teamusa.com/profiles/anastasija-zolotic,Unknown,Unknown,Unknown,Unknown
Jennifer VALENTE,jennifer-valente,https://www.teamusa.com/profiles/jennifer-valente,Unknown,Unknown,Unknown,Unknown
Lee KIEFER,lee-kiefer,https://www.teamusa.com/profiles/lee-kiefer,Unknown,Unknown,Unknown,Unknown
Nathaniel COLEMAN,nathaniel-coleman,https://www.teamusa.com/profiles/nathaniel-coleman,Unknown,Unknown,Unknown,Unknown
Thomas Patrick GILMAN,thomas-gilman,https://www.teamusa.com/profiles/thomas-gilman,Unknown,Unknown,Unknown,Unknown
Kyle Douglas DAKE,kyle-dake,https://www.teamusa.com/profiles/kyle-dake,"Cornell University, NY","5'9""",35,Cornell University
David Morris TAYLOR III,david-taylor,https://www.teamusa.com/profiles/david-taylor,"Graham, OH","6'0""",35,Penn State
Tamyra Mariama MENSAH STOCK,tamyra-stock,https://www.teamusa.com/profiles/tamyra-stock,Unknown,Unknown,Unknown,Unknown
Sarah Ann HILDEBRANDT,sarah-hildebrandt,https://www.teamusa.com/profiles/sarah-hildebrandt,"Granger, IN","5'3""",32,King University
Adeline Maria GRAY,adeline-gray,https://www.teamusa.com/profiles/adeline-gray,"Denver, CO","5'10""",35,"Keller Graduate (2018-2020), DeVry Univ. (2011-2016), University of Colorado – Colorado Springs (2009-2011)"
Helen Louise MAROULIS,helen-maroulis,https://www.teamusa.com/profiles/helen-maroulis,"Rockville, MD","5'3""",34,Simon Fraser University
Gable Dan STEVESON,gable-steveson,https://www.teamusa.com/profiles/gable-steveson,"Apple Valley, MN",Unknown,25,University of Minnesota
Kyle Frederick SNYDER,kyle-snyder,https://www.teamusa.com/profiles/kyle-snyder,"Silver Spring, MD",Unknown,Unknown,Ohio State University
Mykayla SKINNER,mykayla-skinner,https://www.teamusa.com/profiles/mykayla-skinner,Unknown,Unknown,Unknown,Unknown
Simone BILES,simone-biles,https://www.teamusa.com/profiles/simone-biles,"Spring, TX","4'8""",29,"Homeschooled (Spring, Texas) ‘15"
Sunisa LEE,sunisa-lee,https://www.teamusa.com/profiles/sunisa-lee,Unknown,Unknown,Unknown,Unknown
Jade CAREY,jade-carey,https://www.teamusa.com/profiles/jade-carey,Unknown,Unknown,Unknown,Unknown
Nelly KORDA,nelly-korda,https://www.teamusa.com/profiles/nelly-korda,Unknown,Unknown,Unknown,Unknown
Xander SCHAUFFELE,xander-schauffele,https://www.teamusa.com/profiles/xander-schauffele,"San Diego, CA","5'10""",32,"Scripps Ranch High School Long Beach State University, San Diego State University"
Hannah ROBERTS,hannah-roberts,https://www.teamusa.com/profiles/hannah-roberts,Unknown,Unknown,Unknown,Unknown
Cory JUNEAU,cory-juneau,https://www.teamusa.com/profiles/cory-juneau,Unknown,Unknown,Unknown,Unknown
Jagger EATON,jagger-eaton,https://www.teamusa.com/profiles/jagger-eaton,Unknown,Unknown,Unknown,Unknown
Sarah ROBLES,sarah-robles,https://www.teamusa.com/profiles/sarah-robles,"Desert Hot Springs, CA",5’10.5,37,University of Alabama
Katherine Elizabeth NYE,katherine-nye,https://www.teamusa.com/profiles/katherine-nye,Unknown,Unknown,Unknown,Unknown
Courtney FRERICHS,courtney-frerichs,https://www.teamusa.com/profiles/courtney-frerichs,Unknown,Unknown,Unknown,Unknown
Ryan CROUSER,ryan-crouser,https://www.teamusa.com/profiles/ryan-crouser,Unknown,Unknown,Unknown,Unknown
Joe KOVACS,joe-kovacs,https://www.teamusa.com/profiles/joe-kovacs,"Bethlehem, PA","6'0""",36,Penn State University
Brittney REESE,brittney-reese,https://www.teamusa.com/profiles/brittney-reese,Unknown,Unknown,Unknown,Unknown
Grant HOLLOWAY,grant-holloway,https://www.teamusa.com/profiles/grant-holloway,Unknown,Unknown,Unknown,Unknown
Noah LYLES,noah-lyles,https://www.teamusa.com/profiles/noah-lyles,"Alexandria, VA","5'11""",28,TC Williams High School
Kenneth BEDNAREK,kenneth-bednarek,https://www.teamusa.com/profiles/kenneth-bednarek,Unknown,Unknown,Unknown,Unknown
Allyson FELIX,allyson-felix,https://www.teamusa.com/profiles/allyson-felix,Unknown,Unknown,Unknown,Unknown
Molly SEIDEL,molly-seidel,https://www.teamusa.com/profiles/molly-seidel,Unknown,Unknown,Unknown,Unknown
Raven SAUNDERS,raven-saunders,https://www.teamusa.com/profiles/raven-saunders,Unknown,Unknown,Unknown,Unknown
Katie NAGEOTTE,katie-nageotte,https://www.teamusa.com/profiles/katie-nageotte,Unknown,Unknown,Unknown,Unknown
Kendra HARRISON,kendra-harrison,https://www.teamusa.com/profiles/kendra-harrison,Unknown,Unknown,Unknown,Unknown
Valarie ALLMAN,valarie-allman,https://www.teamusa.com/profiles/valarie-allman,Unknown,Unknown,Unknown,Unknown
Athing MU,athing-mu,https://www.teamusa.com/profiles/athing-mu,"Trenton, NJ","5'10""",23,Texas A&M University
Raevyn ROGERS,raevyn-rogers,https://www.teamusa.com/profiles/raevyn-rogers,"Houston, TX","5'9""",29,University of Oregon
Fred KERLEY,fred-kerley,https://www.teamusa.com/profiles/fred-kerley,Unknown,Unknown,Unknown,Unknown
Christopher NILSEN,christopher-nilsen,https://www.teamusa.com/profiles/christopher-nilsen,Unknown,Unknown,Unknown,Unknown
Sydney MCLAUGHLIN,sydney-mclaughlin,https://www.teamusa.com/profiles/sydney-mclaughlin,"Dunellen, NJ","5'9""",26,University of Kentucky
Dalilah MUHAMMAD,dalilah-muhammad,https://www.teamusa.com/profiles/dalilah-muhammad,Unknown,Unknown,Unknown,Unknown
Rai BENJAMIN,rai-benjamin,https://www.teamusa.com/profiles/rai-benjamin,Unknown,Unknown,Unknown,Unknown
Gabrielle THOMAS,gabrielle-thomas,https://www.teamusa.com/profiles/gabrielle-thomas,"Atlanta, GA","5'10""",29,Harvard University
Paul Kipkemoi CHELIMO,paul-chelimo,https://www.teamusa.com/profiles/paul-chelimo,Unknown,Unknown,Unknown,Unknown
Jay LITHERLAND,jay-litherland,https://www.teamusa.com/profiles/jay-litherland,"Athens, GA","6'0""",30,"University of Georgia ‘18, Business"
Chase KALISZ,chase-kalisz,https://www.teamusa.com/profiles/chase-kalisz,Unknown,Unknown,Unknown,Unknown
Katie LEDECKY,katie-ledecky,https://www.teamusa.com/profiles/katie-ledecky,Unknown,Unknown,Unknown,Unknown
Lilly KING,lilly-king,https://www.teamusa.com/profiles/lilly-king,"Evansville, IN","5'9""",29,Indiana University
Lydia JACOBY,lydia-jacoby,https://www.teamusa.com/profiles/lydia-jacoby,Unknown,Unknown,Unknown,Unknown
