athlete_full_name,age,deceased,height,city,state,medal_type,event_title
Alex FERREIRA,31,0,5.75,Aspen,CO,BRONZE,Men's Freeski Halfpipe
Alex FERREIRA,31,0,5.75,Aspen,CO,SILVER,Men’s Ski Halfpipe
Chloe KIM,25,0,5.25,Torrance,CA,GOLD,Women's Snowboard Halfpipe
Chloe KIM,25,0,5.25,Torrance,CA,GOLD,Ladies’ Halfpipe
Nick BAUMGARTNER,44,0,6.0,Iron River,MI,GOLD,Mixed Team Snowboard Cross
Ryan COCHRAN-SIEGLE,34,0,6.083333333333333,Starksboro,VT,SILVER,Men's Super-G
Erin JACKSON,33,0,5.416666666666667,Ocala,FL,GOLD,Women's 500m
Elana MEYERS TAYLOR,41,0,5.666666666666667,Douglasville,GA,SILVER,Women's Monobob
Elana MEYERS TAYLOR,41,0,5.666666666666667,Douglasville,GA,BRONZE,2-woman
Elana MEYERS TAYLOR,41,0,5.666666666666667,Douglasville,GA,SILVER,Women’s Bobsleigh
Elana MEYERS TAYLOR,41,0,5.666666666666667,Douglasville,GA,SILVER,two-woman women
Elana MEYERS TAYLOR,41,0,5.666666666666667,Douglasville,GA,BRONZE,two-woman women
Kaillie HUMPHRIES,40,0,,,,GOLD,Women's Monobob
Kaillie HUMPHRIES,40,0,,,,BRONZE,Women’s Bobsleigh
Kaillie HUMPHRIES,40,0,,,,GOLD,two-woman women
Kaillie HUMPHRIES,40,0,,,,GOLD,two-woman women
Sylvia HOFFMAN,36,0,5.666666666666667,Arlington,TX,BRONZE,2-woman
Brian BURROWS,38,0,5.916666666666667,Fallbrook,CA,BRONZE,Trap Mixed Team
Kayle BROWNING,33,0,5.5,Wooster,AR,SILVER,Trap women
Nevin HARRISON,23,0,5.75,Seattle,WA,GOLD,Women's Canoe Single 200m
Katie ZAFERES,36,0,5.666666666666667,Santa Cruz,CA,BRONZE,Women's Individual
Carissa MOORE,33,0,5.583333333333333,Honolulu,HI,GOLD,Women
Kyle Douglas DAKE,35,0,5.75,Cornell University,NY,BRONZE,Men's Freestyle 74kg
David Morris TAYLOR III,35,0,6.0,Graham,OH,GOLD,Men's Freestyle 86kg
Sarah Ann HILDEBRANDT,32,0,5.25,Granger,IN,BRONZE,Women's Freestyle 50kg
Adeline Maria GRAY,35,0,5.833333333333333,Denver,CO,SILVER,Women's Freestyle 76kg
Helen Louise MAROULIS,34,0,5.25,Rockville,MD,BRONZE,Women's Freestyle 57kg
Helen Louise MAROULIS,34,0,5.25,Rockville,MD,GOLD,Freestyle 53 kg women
Simone BILES,29,0,4.666666666666667,Spring,TX,BRONZE,Women's Balance Beam
Simone BILES,29,0,4.666666666666667,Spring,TX,GOLD,floor exercises women
Simone BILES,29,0,4.666666666666667,Spring,TX,BRONZE,balance beam women
Simone BILES,29,0,4.666666666666667,Spring,TX,GOLD,vault women
Simone BILES,29,0,4.666666666666667,Spring,TX,GOLD,individual all-round women
Xander SCHAUFFELE,32,0,5.833333333333333,San Diego,CA,GOLD,Men's Individual Stroke Play
Sarah ROBLES,37,0,,Desert Hot Springs,CA,BRONZE,Women's +87kg
Sarah ROBLES,37,0,,Desert Hot Springs,CA,BRONZE,+75kg women
Joe KOVACS,36,0,6.0,Bethlehem,PA,SILVER,Men's Shot Put
Joe KOVACS,36,0,6.0,Bethlehem,PA,SILVER,shot put men
Noah LYLES,28,0,5.916666666666667,Alexandria,VA,BRONZE,Men's 200m
Athing MU,23,0,5.833333333333333,Trenton,NJ,GOLD,Women's 800m
Raevyn ROGERS,29,0,5.75,Houston,TX,BRONZE,Women's 800m
Sydney MCLAUGHLIN,26,0,5.75,Dunellen,NJ,GOLD,Women's 400m Hurdles
Gabrielle THOMAS,29,0,5.833333333333333,Atlanta,GA,BRONZE,Women's 200m
Jay LITHERLAND,30,0,6.0,Athens,GA,SILVER,Men's 400m Individual Medley
Lilly KING,29,0,5.75,Evansville,IN,BRONZE,Women's 100m Breaststroke
Lilly KING,29,0,5.75,Evansville,IN,SILVER,Women's 200m Breaststroke
Lilly KING,29,0,5.75,Evansville,IN,GOLD,100m breaststroke women
Ryan MURPHY,30,0,6.25,Jacksonville,FL,BRONZE,Men's 100m Backstroke
Ryan MURPHY,30,0,6.25,Jacksonville,FL,SILVER,Men's 200m Backstroke
Ryan MURPHY,30,0,6.25,Jacksonville,FL,GOLD,200m backstroke men
Ryan MURPHY,30,0,6.25,Jacksonville,FL,GOLD,100m backstroke men
Kate DOUGLASS,24,0,5.833333333333333,Pelham,NY,BRONZE,Women's 200m Individual Medley
April ROSS,43,0,5.75,Costa Mesa,CA,GOLD,Women
April ROSS,43,0,5.75,Costa Mesa,CA,BRONZE,Beach volleyball women
April ROSS,43,0,5.75,Costa Mesa,CA,SILVER,Beach volleyball women
Shaun WHITE,39,0,5.75,Carlsbad,CA,GOLD,Men’s Halfpipe
Shaun WHITE,39,0,5.75,Carlsbad,CA,GOLD,Half-pipe men
Shaun WHITE,39,0,5.75,Carlsbad,CA,GOLD,Half-pipe men
Mikaela SHIFFRIN,31,0,5.583333333333333,Edwards,CO,SILVER,Ladies’ Alpine Combined
Mikaela SHIFFRIN,31,0,5.583333333333333,Edwards,CO,GOLD,Ladies’ Giant Slalom
Mikaela SHIFFRIN,31,0,5.583333333333333,Edwards,CO,GOLD,slalom women
Kikkan RANDALL,43,0,5.416666666666667,Anchorage,AK,GOLD,Ladies’ Team Sprint Free
Sarah HAMMER,42,0,5.583333333333333,Temecula,CA,SILVER,Omnium women
Sarah HAMMER,42,0,5.583333333333333,Temecula,CA,SILVER,Omnium women
Sam KENDRICKS,33,0,6.083333333333333,Oxford,MS,BRONZE,pole vault men
Brianna ROLLINS,34,0,5.416666666666667,Miami,FL,GOLD,100m hurdles women
Matthew CENTROWITZ,36,0,5.75,Arnold,MD,GOLD,1500m men
Tori BOWIE,32,1,5.75,Sandhill,MS,SILVER,100m women
Tori BOWIE,32,1,5.75,Sandhill,MS,BRONZE,200m women
Kerri WALSH JENNINGS,47,0,6.25,Saratoga,CA,BRONZE,Beach volleyball women
