,eigenvector_centrality,betweenness_centrality
100m backstroke women,0.1565363644368486,0.18643570170287727
200m backstroke women,0.004812885888657596,0.0
pole vault women,0.0026290762404305554,0.0
two-woman women,0.004756686104734025,0.07639459776864357
Trap women,4.684705772551258e-05,0.0
pole vault men,0.004031553267162616,0.014327657075748679
400m freestyle men,0.0948386875421312,0.15049193515429576
mixed doubles mixed,0.014699001761104679,0.06730699326119177
synchronized diving 3m springboard men,0.001464792472661452,0.0
+75kg women,0.09484862494225015,0.003095463941030588
100m breaststroke women,0.12724934171839744,0.20651986690154628
100m freestyle men,0.09799739521977797,0.0027575556172150426
100m freestyle women,0.0977696456691885,0.01480309473263085
100m hurdles women,0.15966798864381318,0.021984732824427464
100m women,0.12535443291726994,0.0
110m hurdles men,0.21453471918430747,0.066858485026424
1500m freestyle men,0.12530830060252726,0.0
200m backstroke men,0.15966798864381318,0.021984732824427464
200m breaststroke women,0.33503188786471844,0.0
200m individual medley women,0.2129357889795348,0.0
200m women,0.0948796162350091,0.027640384669157414
400m freestyle women,0.09652120466502172,0.04130254947636037
400m hurdles women,0.125532880674711,0.02254844392248974
400m individual medley women,0.12659511569995313,0.043225680172245054
50m freestyle men,0.15488179342362524,0.00750496323015407
800m freestyle women,0.09484862494225015,0.003095463941030588
Beach volleyball men,0.15530676710379898,0.0
Beach volleyball women,0.33503188786471844,0.0
Doubles mixed,0.21431530992373415,0.0
"Flyweight, Freestyle (≤115 pounds) Men",0.09484862494225015,0.003095463941030588
Half-pipe men,0.15530676710379898,0.0
Individual women,0.12509164276122686,0.14098984984481172
Marathon - 10 km women,0.1253083006025273,0.0
Men’s Halfpipe,0.15530676710379898,0.0
Omnium women,0.1253083006025273,0.0
Ski Halfpipe women,0.15530676710379898,0.0
Women,0.15530676710379898,0.0
decathlon men,0.26559119458907887,0.0
double sculls 2x men,0.09484862494225013,0.003095463941030588
doubles men,0.10536772781215849,0.01383342044528187
marathon women,0.09484862494225013,0.003095463941030588
twoperson keelboat open Star mixed,0.1253083006025273,0.0
Ladies’ Halfpipe,0.15530676710379898,0.0
Men's Individual Stroke Play,0.15530676710379898,0.0
Trap Mixed Team,0.09484862494225013,0.003095463941030588
